🕘️更新时间,#genre#
2026-02-07 18:29:07,http://pull-flv-f1.douyincdn.com/media/stream-695106910011261612.flv?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-20260201084152FCA02A28E82C926FE0D6-TkujMo&unique_id=stream-695106910011261612_684_flv&wsSecret=52d181562d8e2a5dee20184a94272ef3&wsTime=697ea150$订阅源

📺央视频道,#genre#
CCTV-2,http://pull-flv-f1.douyincdn.com/media/stream-695106910011261612.flv?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-20260201084152FCA02A28E82C926FE0D6-TkujMo&unique_id=stream-695106910011261612_684_flv&wsSecret=52d181562d8e2a5dee20184a94272ef3&wsTime=697ea150$订阅源
CCTV-4,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8$订阅源
CCTV-13,https://cdn3.163189.xyz/163189/cctv13$订阅源
CCTV-16,https://epg.pw/stream/c1beb2abcba5aef09c2f58efc3ca84b76de2c7b9cf60762b0d79772d9e70d454.m3u8$订阅源

📡卫视频道,#genre#
黑龙江卫视,https://epg.pw/stream/c6c1262d0b35e59eac22bf513395f00f8b60cc5eab41f598412cdf8269312f32.m3u8$订阅源
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8$订阅源
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
甘肃卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
贵州卫视,http://k.061899.xyz/k.php?id=gzws$订阅源
海南卫视,http://k.061899.xyz/k.php?id=hinws$订阅源
河北卫视,http://k.061899.xyz/k.php?id=hbws$订阅源
河南卫视,http://k.061899.xyz/k.php?id=hnws$订阅源
吉林卫视,http://k.061899.xyz/k.php?id=jlws$订阅源
江苏卫视,http://k.061899.xyz/k.php?id=jsws$订阅源
江西卫视,http://k.061899.xyz/k.php?id=jxws$订阅源
辽宁卫视,https://www.goodiptv.club/douyu/9403738$订阅源
辽宁卫视,http://k.061899.xyz/k.php?id=lnws$订阅源
内蒙古卫视,http://k.061899.xyz/k.php?id=nmgws$订阅源
宁夏卫视,http://k.061899.xyz/k.php?id=nxws$订阅源
青海卫视,http://k.061899.xyz/k.php?id=qhws$订阅源
山东卫视,http://k.061899.xyz/k.php?id=sdws$订阅源
山西卫视,http://k.061899.xyz/k.php?id=sxiws$订阅源
陕西卫视,http://k.061899.xyz/k.php?id=sxws$订阅源
四川卫视,http://k.061899.xyz/k.php?id=scws$订阅源
深圳卫视,http://k.061899.xyz/k.php?id=szws$订阅源
天津卫视,http://k.061899.xyz/k.php?id=tjws$订阅源
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws$订阅源
西藏卫视,http://cc02.tv12.xyz/9.m3u8$订阅源
新疆卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225635$订阅源
新疆卫视,http://cc02.tv12.xyz/10.m3u8$订阅源
新疆卫视,http://k.061899.xyz/k.php?id=xjws$订阅源
云南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226444$订阅源
云南卫视,http://k.061899.xyz/k.php?id=ynws$订阅源
